代码,名称,周报成交量,周报交易量同比增减,周报成交金额,周报成交金额同比增减,周报年累计成交总量,周报年累计成交总量同比增减,周报年累计成交金额,周报年累计成交金额同比增减,周报持仓量,周报持仓量环比增减,本周主力合约收盘价,本周主力合约收盘价环比涨跌,昨日仓单量,今日仓单量,仓单量增减量,成交量,成交量变化,持买仓量,持买仓量变化,持卖仓量,持卖仓量变化,消极情绪,积极情绪
BB,细木工板（胶合板）,95.5,270.56418333333335,0.078012,339.1042333333334,305.9375,14.634118181818184,0.23634600000000003,39.51224545454546,12.733333333333333,69.64926249999999,167.3025,3.904721052631579,2.0,2.0,0.0,25166.6,2894.0,22757.9,-182.5,22993.4,-491.8,0.0,0.0
FB,中密度纤维板（纤维板）,35109.85,402.6115933333333,5.22032605,95.85233333333333,394373.05,30119.00377647059,64.63235095000002,16575.950694736843,5084.25,-9.973331578947366,1180.0125,-1.868945,207.0,207.0,0.0,43101.9,6098.9,19387.2,1577.5,17926.4,786.0,0.0,0.0
I,铁矿石,5266167.65,34.037645,3307.23187245,49.041115000000005,63772981.6,-5.31144,41337.3980093,9.0977,866044.15,-1.3478849999999998,634.775,0.7478549999999999,1590.0,1685.0,95.0,787015.2,-9067.0,464473.2,-5639.4,447048.2,-8000.9,0.4525321943284856,0.5474678052167316
J,焦炭,740275.95,3.3277199999999945,1383.0655520999996,-4.1551350000000005,10680780.3,-36.926145,20719.683179749998,-40.79997999999999,148447.9,-3.7406400000000004,1853.1,0.04744000000000004,658.0,661.5,3.5,604724.6,10012.5,180967.2,1828.7,188389.4,882.1,0.4762692691362638,0.5237307300868171
JM,焦煤,386747.5,-14.186494999999997,285.02728390000004,-19.181015000000006,4885333.95,-52.470145,3692.8252408500002,-53.66578,110446.1,-1.0093649999999998,1217.5,0.24660000000000007,535.0,535.0,0.0,473749.7,-130.6,148014.4,2048.6,138000.4,4097.5,0.477052132239069,0.5229478664376779
L,线型低密度聚乙烯,1627162.25,139.82638500000002,534.1778232,87.66140500000002,15586367.55,61.63921500000002,5626.423204050001,31.453384999999997,373985.75,-1.6261349999999997,7001.75,-0.8055749999999998,2979.85,2989.7,9.85,1598605.7,-11430.6,338512.2,136.9,393620.0,-3144.3,0.5472613292435805,0.45273866355419157
P,棕榈油,5532235.2,456.4856099999999,2998.8078876,555.915745,57890142.25,439.49859000000015,32188.79082995,566.605735,489551.3,-3.335815,5247.1,-1.66343,2068.85,2038.6,-30.25,1857214.8,-11766.0,404643.5,-1282.9,438414.5,-4127.7,0.43415807979135257,0.5658419183589245
PP,聚丙烯,2808732.15,134.81847,980.9852535999996,92.30845500000001,23964205.85,44.52463499999999,9098.972798899998,21.610315,405633.45,-0.430875,7254.65,-0.2766399999999999,4530.7,4545.75,15.05,1681926.9,-5218.4,353180.6,-232.0,336337.6,-2346.7,0.45745003057639294,0.5425499674255172
RR,粳米,27156.65,0.0,9.4399727,0.0,243654.75,0.0,86.02110975000001,0.0,13570.75,6.53434,3423.4,-0.2662,36.75,34.5,-2.25,54820.3,4198.9,26592.2,433.6,26959.7,587.2,0.47665916210631043,0.5233408304885393
LH,NoneName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.35,245.7,0.35,9020.444444444445,556.5555555555555,14337.333333333334,9.88888888888889,16326.444444444445,88.22222222222223,0.0,0.0
PG,液化石油气,2402505.75,0.0,1499.0796317499999,0.0,4756823.0,0.0,2892.376976,0.0,69959.0,36.6089,3121.0,7.108666666666667,9118.75,8972.8,-145.95,181718.9,1965.8,33714.1,-145.8,32199.0,215.3,0.3919879643789803,0.6080120368798574
